"logFC","AveExpr","t","P.Value","adj.P.Val","B","CHEM_ID","Original_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","CAS","CHEMSPIDER","HMDB","KEGG","PUBCHEM","LIPID SPECIES LEVEL","LIPID MOLECULAR SPECIES LEVEL","LIPID SN POSITION LEVEL","COMP_ID_1","COMP_ID_2","COMP_ID_3","LIB_ID_1","LIB_ID_2","LIB_ID_3","CHRO_LIB_ENTRY_ID_1","CHRO_LIB_ENTRY_ID_2","CHRO_LIB_ENTRY_ID_3","PLATFORM_1","PLATFORM_2","PLATFORM_3","CHRO_LIB_ENTRY_ID","COMP_ID","LIB_ID","PLATFORM","effect_size","hedges_g"
-0.290793690523942,0.0560994276410327,-3.91114703765123,0.000103474485080816,0.0302145496435982,1.09712291942642,100002094,"100002094","Cofactors and Vitamins","Tocopherol Metabolism",4572,"NAMED","VMJQLPNCUPGMNQ-UHFFFAOYSA-N","OC1=C(C)C(C)=C(OC(C)(CCC(O)=O)CC2)C2=C1","gamma-CEHC","gamma-CEHC","178167-75-4",117455,"HMDB0001931",NA,133098,NA,NA,NA,44876,44876,44876,209,209,209,127733,127733,127733,"Neg","Neg","Neg",127733,44876,209,"Neg",-0.438128125252411,-0.437103663540987
-0.304971639924316,-0.0824031626146612,-3.53860899515242,0.000436629283019833,0.0637478753208957,-0.171070415325167,100020253,"100020253","Partially Characterized Molecules","Partially Characterized Molecules",6725,"NAMED",NA,NA,"glycine conjugate of C10H12O2*","glycine conjugate of C10H12O2*",NA,NA,NA,NA,NA,NA,NA,NA,62145,62145,62145,209,209,209,219037,219037,219037,"Neg","Neg","Neg",219037,62145,209,"Neg",-0.396396277133701,-0.395469395737441
-0.201962725790127,-0.140936587721643,-3.19577828728836,0.00147540360366704,0.134746818941017,-1.23120296258212,207,"207","Nucleotide","Purine Metabolism, Adenine containing",4345,"NAMED","IVOMOUWHDPKRLL-UHFFFAOYSA-N","NC1=NC=NC2=C1N=CN2C3OC(CO4)C(OP4(O)=O)C3O","adenosine 3',5'-cyclic monophosphate (cAMP)","adenosine 3',5'-cyclic monophosphate (cAMP)","60-92-4",268,"HMDB0000058","C00575",6076,NA,NA,NA,2831,2831,2831,209,209,209,123233,123233,123233,"Neg","Neg","Neg",123233,2831,209,"Neg",-0.357992255533521,-0.357155173096576
-0.161357206080854,-0.12034417723812,-3.07814520510857,0.00218787543460812,0.134746818941017,-1.57107796682705,100006082,"100006082","Xenobiotics","Chemical",6428,"NAMED","MDQKYGOECVSPIW-UHFFFAOYSA-N","ClC1=C(C#N)C(Cl)=C(Cl)C(O)=C1C#N","4-hydroxychlorothalonil","4-hydroxychlorothalonil","28343-61-5",31530,"HMDB0240624",NA,34217,NA,NA,NA,48441,48441,48441,209,209,209,154475,154475,154475,"Neg","Neg","Neg",154475,48441,209,"Neg",-0.344814954535386,-0.344008684181834
-0.286096303267837,0.0102515712499924,-3.06199280160596,0.00230730854351057,0.134746818941017,-1.61678836054776,100020416,"100020416","Cofactors and Vitamins","Tocopherol Metabolism",4580,"NAMED","BNVXCCQXUZCRSR-UHFFFAOYSA-N","OC1=CC2=C(C(C)=C1)OC(CCC(O)=O)(C)CC2","delta-CEHC","delta-CEHC","84599-16-6",9710906,"HMDB0242106",NA,35027084,NA,NA,NA,62287,62287,62287,209,209,209,219260,219260,219260,"Neg","Neg","Neg",219260,62287,209,"Neg",-0.343005556372444,-0.342203516879758
-0.224438630781416,0.0617050550677655,-2.73032818227933,0.00653214810895143,0.317897874635636,-2.50393544530677,100020254,"100020254","Partially Characterized Molecules","Partially Characterized Molecules",6726,"NAMED",NA,NA,"glycine conjugate of C10H14O2 (1)*","glycine conjugate of C10H14O2 (1)*",NA,NA,NA,NA,NA,NA,NA,NA,62146,62146,62146,209,209,209,219038,219038,219038,"Neg","Neg","Neg",219038,62146,209,"Neg",-0.305852364104481,-0.305137198794806
-0.324314351646795,0.0136958340279871,-2.67273623771755,0.00774920536152862,0.32325256650948,-2.64794100200221,100004243,"100004243","Cofactors and Vitamins","Tocopherol Metabolism",4573,"NAMED","NOZSTAZEOBPSBY-UHFFFAOYSA-N","OC(C1C(O)C(O)C(O)C(OC2=C(C)C(C)=C(OC(C)(CCC(O)=O)CC3)C3=C2)O1)=O","gamma-CEHC glucuronide*","gamma-CEHC glucuronide*",NA,NA,"HMDB0242175",NA,121596235,NA,NA,NA,42381,42381,42381,209,209,209,144301,144301,144301,"Neg","Neg","Neg",144301,42381,209,"Neg",-0.299400893357514,-0.298700813326281
0.125619757387403,-0.0316567562771284,2.55419565615154,0.0109145537223636,0.379025008686327,-2.93494057049553,100001393,"100001393","Amino Acid","Leucine, Isoleucine and Valine Metabolism",361,"NAMED","IGQBPDJNUXPEMT-UHFFFAOYSA-N","[O-]C(CC(C[N+](C)(C)C)OC(CC(C)C)=O)=O","isovalerylcarnitine (C5)","isovalerylcarnitine (C5)","31023-24-2",4932271,"HMDB0000688","C20826",169235,NA,NA,NA,34407,34407,34407,400,400,400,156109,156109,156109,"Pos Early","Pos Early","Pos Early",156109,34407,400,"Pos Early",0.286121933945383,0.285452903702331
-0.224214384576981,-0.395916060776523,-2.53014926447829,0.0116822776649895,0.379025008686327,-2.99161188043466,100021472,"100021472","Amino Acid","Phenylalanine Metabolism",148,"NAMED","CWAGPBPLOYGROC-UHFFFAOYSA-N","OC(CCC(NC(CC1=CC=CC=C1)C(O)=O)=O)=O","N-succinyl-phenylalanine","N-succinyl-phenylalanine",NA,2384788,NA,NA,3131586,NA,NA,NA,63855,63855,63855,209,209,209,223466,223466,223466,"Neg","Neg","Neg",223466,63855,209,"Neg",-0.28342824833309,-0.282765516653433
-0.141858576216089,0.00481489537906482,-2.48487415160588,0.013259114501898,0.387166143455422,-3.09689466443675,100000257,"100000257","Carbohydrate","Aminosugar Metabolism",1446,"NAMED","AEMOLEFTQBMNLQ-QIUUJYRFSA-N","O[C@@H]1O[C@H]([C@](O)=O)[C@@H](O)[C@H](O)[C@H]1O","glucuronate","glucuronate","207300-70-7",58552,"HMDB0000127","C16245",4.41478236779769e+29,NA,NA,NA,15443,15443,15443,305,305,305,146478,146478,146478,"Polar","Polar","Polar",146478,15443,305,"Polar",-0.278356513588161,-0.277705640992086
