"logFC","AveExpr","t","P.Value","adj.P.Val","B","CHEM_ID","Original_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","CAS","CHEMSPIDER","HMDB","KEGG","PUBCHEM","LIPID SPECIES LEVEL","LIPID MOLECULAR SPECIES LEVEL","LIPID SN POSITION LEVEL","COMP_ID_1","COMP_ID_2","COMP_ID_3","LIB_ID_1","LIB_ID_2","LIB_ID_3","CHRO_LIB_ENTRY_ID_1","CHRO_LIB_ENTRY_ID_2","CHRO_LIB_ENTRY_ID_3","PLATFORM_1","PLATFORM_2","PLATFORM_3","CHRO_LIB_ENTRY_ID","COMP_ID","LIB_ID","PLATFORM"
-0.258079130018272,-0.0824031626146612,-3.11807470922653,0.00191660472573092,0.469213748041794,-1.66732417846322,100020253,"100020253","Partially Characterized Molecules","Partially Characterized Molecules",6725,"NAMED",NA,NA,"glycine conjugate of C10H12O2*","glycine conjugate of C10H12O2*",NA,NA,NA,NA,NA,NA,NA,NA,62145,62145,62145,209,209,209,219037,219037,219037,"Neg","Neg","Neg",219037,62145,209,"Neg"
-0.14899856739698,-0.12034417723812,-2.95967033018289,0.00321379279480681,0.469213748041794,-2.02292791799987,100006082,"100006082","Xenobiotics","Chemical",6428,"NAMED","MDQKYGOECVSPIW-UHFFFAOYSA-N","ClC1=C(C#N)C(Cl)=C(Cl)C(O)=C1C#N","4-hydroxychlorothalonil","4-hydroxychlorothalonil","28343-61-5",31530,"HMDB0240624",NA,34217,NA,NA,NA,48441,48441,48441,209,209,209,154475,154475,154475,"Neg","Neg","Neg",154475,48441,209,"Neg"
0.62194490513169,-0.688481144212162,2.78670069678079,0.00551062434999371,0.473276051553366,-2.39087090628866,100020014,"100020014","Partially Characterized Molecules","Partially Characterized Molecules",6685,"NAMED",NA,NA,"glucuronide of C10H18O2 (7)*","glucuronide of C10H18O2 (7)*",NA,NA,NA,NA,NA,NA,NA,NA,61887,61887,61887,209,209,209,218638,218638,218638,"Neg","Neg","Neg",218638,61887,209,"Neg"
-0.263752039212933,-0.0631117231452062,-2.73283950502969,0.00648323358292282,0.473276051553366,-2.50108325231938,100021261,"100021261","Peptide","Dipeptide Derivative",672,"NAMED","JCCZCUUYYHWRGX-UHFFFAOYSA-N","NC(CC(C)C)C(N1C(C(O)=O)CC(O)C1)=O","leucylhydroxyproline*","leucylhydroxyproline*",NA,20170035,"HMDB0028930",NA,20847829,NA,NA,NA,63052,63052,63052,400,400,400,221645,221645,221645,"Pos Early","Pos Early","Pos Early",221645,63052,400,"Pos Early"
-0.206796462186364,-0.140247953739492,-2.53801486492823,0.0114260259848543,0.538212407700193,-2.88234901557247,358,"358","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",478,"NAMED","VVIUBCNYACGLLV-UHFFFAOYSA-N","NCCS(O)=O","hypotaurine","hypotaurine","300-84-5",96959,"HMDB0000965","C00519",107812,NA,NA,NA,590,590,590,400,400,400,155331,155331,155331,"Pos Early","Pos Early","Pos Early",155331,590,400,"Pos Early"
-0.13289474618997,-0.209395825150391,-2.47338948933505,0.013687963329845,0.538212407700193,-3.0027778310028,100003696,"100003696","Xenobiotics","Chemical",6414,"NAMED","KZNICNPSHKQLFF-UHFFFAOYSA-N","O=C1NC(CC1)=O","succinimide","succinimide","123-56-8",10955,"HMDB0240653","C07273",11439,NA,NA,NA,41888,41888,41888,209,305,305,143923,152218,152218,"Neg","Polar","Polar",152218,41888,305,"Polar"
-0.296886901013871,-0.0480444661131599,-2.4486407160396,0.0146540967994312,0.538212407700193,-3.04809736500106,100003892,"100003892","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",474,"NAMED","DWPCPZJAHOETAG-IMJSIDKUSA-N","O=C([C@H](CSC[C@@H](C(O)=O)N)N)O","lanthionine","lanthionine","468821",88959,"HMDB0251521",NA,98504,NA,NA,NA,42002,42002,42002,400,400,400,156875,156875,156875,"Pos Early","Pos Early","Pos Early",156875,42002,400,"Pos Early"
-0.109500649448121,-0.107757997658818,-2.44637355661241,0.0147455454164436,0.538212407700193,-3.05222678457461,100020241,"100020241","Peptide","Gamma-glutamyl Amino Acid",668,"NAMED","SCTJBDDLOROJJM-UHFFFAOYSA-N","NC(C(O)=O)CCC(NC(CCCNC(N)=O)C(O)=O)=O","gamma-glutamylcitrulline*","gamma-glutamylcitrulline*",NA,NA,NA,NA,NA,NA,NA,NA,62104,62104,62104,400,400,400,218950,218950,218950,"Pos Early","Pos Early","Pos Early",218950,62104,400,"Pos Early"
-0.275944582829531,-0.114211080864852,-2.28990633384395,0.022408507167603,0.70628129238036,-3.32821125934209,100001083,"100001083","Amino Acid","Tryptophan Metabolism",312,"NAMED","GOLXRNDWAUTYKT-UHFFFAOYSA-N","OC(CCC1=CNC2=C1C=CC=C2)=O","indolepropionate","indolepropionate","830-96-6",3613,"HMDB0002302",NA,3744,NA,NA,NA,32405,32405,32405,209,209,209,125818,125818,125818,"Neg","Neg","Neg",125818,32405,209,"Neg"
-0.161072436836154,0.0560994276410327,-2.25580160758652,0.0244792544092612,0.70628129238036,-3.38600516202779,100002094,"100002094","Cofactors and Vitamins","Tocopherol Metabolism",4572,"NAMED","VMJQLPNCUPGMNQ-UHFFFAOYSA-N","OC1=C(C)C(C)=C(OC(C)(CCC(O)=O)CC2)C2=C1","gamma-CEHC","gamma-CEHC","178167-75-4",117455,"HMDB0001931",NA,133098,NA,NA,NA,44876,44876,44876,209,209,209,127733,127733,127733,"Neg","Neg","Neg",127733,44876,209,"Neg"
