"logFC","AveExpr","t","P.Value","adj.P.Val","B","CHEM_ID","Original_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","CAS","CHEMSPIDER","HMDB","KEGG","PUBCHEM","LIPID SPECIES LEVEL","LIPID MOLECULAR SPECIES LEVEL","LIPID SN POSITION LEVEL","COMP_ID_1","COMP_ID_2","COMP_ID_3","LIB_ID_1","LIB_ID_2","LIB_ID_3","CHRO_LIB_ENTRY_ID_1","CHRO_LIB_ENTRY_ID_2","CHRO_LIB_ENTRY_ID_3","PLATFORM_1","PLATFORM_2","PLATFORM_3","CHRO_LIB_ENTRY_ID","COMP_ID","LIB_ID","PLATFORM"
0.174632124960956,0.0633733500040553,3.82490424840698,0.000145742240866711,0.0389014143146995,0.78778952314963,100000808,"100000808","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",469,"NAMED","NOKPBJYHPHHWAN-REOHCLBHSA-N","N[C@H](C(O)=O)CSS(O)(=O)=O","cysteine s-sulfate","cysteine s-sulfate","1637-71-4",102939,"HMDB0000731","C05824",115015,NA,NA,NA,22176,22176,22176,400,305,400,155804,165753,155804,"Pos Early","Polar","Pos Early",165753,22176,305,"Polar"
-0.164753082189376,0.066493742039894,-3.66963564111592,0.000266448043251367,0.0389014143146995,0.252476339361625,100015966,"100015966","Cofactors and Vitamins","Vitamin A Metabolism",4635,"NAMED","JKQXZKUSFCKOGQ-DKLMTRRASA-N","CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CC(O)CC2(C)C)C(C)(C)CC(O)C1","carotene diol (1)","carotene diol (1)",NA,NA,NA,NA,NA,NA,NA,NA,57635,57635,57635,402,402,402,212257,212257,212257,"Pos Late","Pos Late","Pos Late",212257,57635,402,"Pos Late"
-0.3529819231653,-0.0687756776232741,-2.95270149999235,0.00328405667365323,0.204778345178036,-1.94375002974266,100003892,"100003892","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",474,"NAMED","DWPCPZJAHOETAG-IMJSIDKUSA-N","O=C([C@H](CSC[C@@H](C(O)=O)N)N)O","lanthionine","lanthionine","468821",88959,"HMDB0251521",NA,98504,NA,NA,NA,42002,42002,42002,400,400,400,156875,156875,156875,"Pos Early","Pos Early","Pos Early",156875,42002,400,"Pos Early"
-0.197185868647929,0.0662335473546396,-2.89069398904767,0.00399512322631746,0.204778345178036,-2.11216542648893,100001977,"100001977","Cofactors and Vitamins","Vitamin A Metabolism",4639,"NAMED","DMASLKHVQRHNES-QQGJMDNJSA-N","CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CC(O)C1","beta-cryptoxanthin","beta-cryptoxanthin","472-70-8",4904571,"HMDB0033844","C08591",5281235,NA,NA,NA,57591,57591,57591,402,402,402,211608,211608,211608,"Pos Late","Pos Late","Pos Late",211608,57591,402,"Pos Late"
-0.296684580019793,-0.116807251999438,-2.83114803795088,0.00480715149308493,0.204778345178036,-2.27063589222711,504,"504","Amino Acid","Tryptophan Metabolism",294,"NAMED","QZAYGJVTTNCVMB-UHFFFAOYSA-N","NCCC1=CNC(C=C2)=C1C=C2O","serotonin","serotonin","153-98-0",5013,"HMDB0000259","C00780",5202,NA,NA,NA,2342,2342,2342,400,400,400,155468,155468,155468,"Pos Early","Pos Early","Pos Early",155468,2342,400,"Pos Early"
-0.124931122197214,0.0453684951573977,-2.7881678250616,0.00548337837555313,0.204778345178036,-2.38303190166286,35,"35","Amino Acid","Glutamate Metabolism",64,"NAMED","DWAKNKKXGALPNW-UHFFFAOYSA-N","OC(C1CCC=N1)=O","S-1-pyrroline-5-carboxylate","S-1-pyrroline-5-carboxylate","2906-39-0",10140206,"HMDB0001301","C04322",11966181,NA,NA,NA,42370,42370,42370,400,400,400,166164,166164,166164,"Pos Early","Pos Early","Pos Early",166164,42370,400,"Pos Early"
-0.318592368717573,-0.102087959305111,-2.72603203135124,0.00661358697151161,0.204778345178036,-2.5425694107435,100001083,"100001083","Amino Acid","Tryptophan Metabolism",312,"NAMED","GOLXRNDWAUTYKT-UHFFFAOYSA-N","OC(CCC1=CNC2=C1C=CC=C2)=O","indolepropionate","indolepropionate","830-96-6",3613,"HMDB0002302",NA,3744,NA,NA,NA,32405,32405,32405,209,209,209,125818,125818,125818,"Neg","Neg","Neg",125818,32405,209,"Neg"
0.135382865176509,0.0307146238171294,2.66825262106331,0.00784869605799961,0.204778345178036,-2.68778521741529,100005466,"100005466","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",481,"NAMED","CXJAAWRLVGAKDV-UHFFFAOYSA-N","O=S(CCNC(C)=O)(O)=O","N-acetyltaurine","N-acetyltaurine",NA,140553,"HMDB0240253",NA,159864,NA,NA,NA,48187,48187,48187,209,305,209,153116,154613,153116,"Neg","Polar","Neg",154613,48187,305,"Polar"
0.133419768420999,0.0696531487583235,2.65794474006745,0.00808964735656375,0.204778345178036,-2.71337367133257,100008998,"100008998","Cofactors and Vitamins","Tocopherol Metabolism",4586,"NAMED","QUEDXNHFTDJVIY-DQCZWYHMSA-N","CC1=C(C(CC2)=CC(O)=C1C)O[C@@]2(CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)C","gamma-tocopherol/beta-tocopherol","gamma-tocopherol/beta-tocopherol",NA,NA,"HMDB0006335,HMDB0001492","C14152,C02483",NA,NA,NA,NA,52473,52473,52473,402,402,402,165151,165151,165151,"Pos Late","Pos Late","Pos Late",165151,52473,402,"Pos Late"
-0.351852196385127,-0.360431209002544,-2.63594135541481,0.00862632864499848,0.204778345178036,-2.76767267353608,100020502,"100020502","Xenobiotics","Food Component/Plant",5230,"NAMED",NA,NA,"sulfate of piperine metabolite C18H21NO3 (1)*","sulfate of piperine metabolite C18H21NO3 (1)*",NA,NA,NA,NA,NA,NA,NA,NA,62297,62297,62297,209,209,209,219276,219276,219276,"Neg","Neg","Neg",219276,62297,209,"Neg"
-0.115629214838991,-0.1468717777675,-2.63534656655532,0.00864126899833922,0.204778345178036,-2.76913436748139,100000841,"100000841","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism",4560,"NAMED","MUBZPKHOEPUJKR-UHFFFAOYSA-N","O=C(O)C(O)=O","oxalate (ethanedioate)","oxalate (ethanedioate)","144-62-7",946,"HMDB0002329","C00209",971,NA,NA,NA,20694,20694,20694,209,209,209,143843,143843,143843,"Neg","Neg","Neg",143843,20694,209,"Neg"
-0.123136511751991,-0.0529687116519246,-2.56558171567719,0.0105630929469702,0.204778345178036,-2.93835166385527,100001022,"100001022","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism",4557,"NAMED","JPIJQSOTBSSVTP-UHFFFAOYSA-N","O=C(O)C(O)([H])C([H])(O)CO","threonate","threonate","70753-61-6",133224,"HMDB0062620,HMDB0000943","C01620",1511525460407,NA,NA,NA,27738,27738,27738,305,305,305,146524,146524,146524,"Polar","Polar","Polar",146524,27738,305,"Polar"
-0.241549252690476,-0.0783943259326489,-2.54551546863778,0.0111823409770793,0.204778345178036,-2.98620351193788,100021261,"100021261","Peptide","Dipeptide Derivative",672,"NAMED","JCCZCUUYYHWRGX-UHFFFAOYSA-N","NC(CC(C)C)C(N1C(C(O)=O)CC(O)C1)=O","leucylhydroxyproline*","leucylhydroxyproline*",NA,20170035,"HMDB0028930",NA,20847829,NA,NA,NA,63052,63052,63052,400,400,400,221645,221645,221645,"Pos Early","Pos Early","Pos Early",221645,63052,400,"Pos Early"
0.249318081802369,0.0798261800561328,2.54243094087252,0.0112803441781626,0.204778345178036,-2.99352666703272,100001121,"100001121","Cofactors and Vitamins","Vitamin B6 Metabolism",4655,"NAMED","HXACOUQIXZGNBF-UHFFFAOYSA-N","OC1=C(C(O)=O)C(CO)=CN=C1C","pyridoxate","pyridoxate","82-82-6",6467,"HMDB0000017","C00847",6723,NA,NA,NA,31555,31555,31555,209,209,209,124697,124697,124697,"Neg","Neg","Neg",124697,31555,209,"Neg"
0.148081946890318,0.0580479964934516,2.52064410173875,0.0119946149421752,0.204778345178036,-3.04500534689974,100001468,"100001468","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism",4527,"NAMED","JLQSXXWTCJPCBC-UHFFFAOYSA-N","O=C(C1=C([H])N(C(C([H])=C1[H])=O)C([H])([H])[H])N([H])[H]","N1-methyl-2-pyridone-5-carboxamide","N1-methyl-2-pyridone-5-carboxamide","701-44-0",62899,"HMDB0004193","C05842",69698,NA,NA,NA,40469,40469,40469,400,209,209,156740,143005,143005,"Pos Early","Neg","Neg",156740,40469,400,"Pos Early"
0.429982880029007,-0.616738035424795,2.51163846400247,0.0123014172221218,0.204778345178036,-3.06615787465535,100001806,"100001806","Xenobiotics","Benzoate Metabolism",4764,"NAMED","CYGSXDXRHXMAOV-UHFFFAOYSA-N","O=S(OC1=CC=CC=C1C)(O)=O","o-cresol sulfate","o-cresol sulfate",NA,9790277,"HMDB0240655",NA,11615528,NA,NA,NA,36845,36845,36845,209,209,209,143732,143732,143732,"Neg","Neg","Neg",143732,36845,209,"Neg"
-0.11081584256704,-0.0589013729823957,-2.5035186285014,0.0125839976252509,0.204778345178036,-3.08516646563931,1090,"1090","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism",4612,"NAMED","BPYKTIZUTYGOLE-KDUUSRDASA-N","CC(C(N\1)=O)=C(C=C)C1=C/C2=C(C)C(CCC(O)=O)=C(CC3=C(CCC(O)=O)C(C)=C(/C=C4NC(C(C=C)=C/4C)=O)N3)N2","bilirubin (Z,Z)","bilirubin","635-65-4",4444055,"HMDB0000054","C00486",5280352,NA,NA,NA,43807,43807,43807,402,402,402,159596,159596,159596,"Pos Late","Pos Late","Pos Late",159596,43807,402,"Pos Late"
