"logFC","AveExpr","t","P.Value","adj.P.Val","B","CHEM_ID","Original_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","CAS","CHEMSPIDER","HMDB","KEGG","PUBCHEM","LIPID SPECIES LEVEL","LIPID MOLECULAR SPECIES LEVEL","LIPID SN POSITION LEVEL","COMP_ID_1","COMP_ID_2","COMP_ID_3","LIB_ID_1","LIB_ID_2","LIB_ID_3","CHRO_LIB_ENTRY_ID_1","CHRO_LIB_ENTRY_ID_2","CHRO_LIB_ENTRY_ID_3","PLATFORM_1","PLATFORM_2","PLATFORM_3","CHRO_LIB_ENTRY_ID","COMP_ID","LIB_ID","PLATFORM","PTSDBioPriority_v8"
-0.185628867666062,-0.106644865455079,-3.95227757318489,9.31351072746831e-05,0.0318985106737662,1.18824549860516,100009123,"100009123","Lipid","Phosphatidylcholine (PC)",2318,"NAMED","GEINPYKZLFHHIL-HEXXMCQTSA-N","O=C(CCCCCCCCCCCCCC)OC[C@]([H])(COP(OCC[N+](C)(C)C)([O-])=O)OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O","1-pentadecanoyl-2-docosahexaenoyl-GPC (15:0/22:6)*","1-pentadecanoyl-2-docosahexaenoyl-GPC (15:0/22:6)*",NA,24766633,"HMDB0007958",NA,52922342,"PC 37:6","PC 15:0_22:6","Unknown",53197,53197,53197,402,402,402,166627,166627,166627,"Pos Late","Pos Late","Pos Late",166627,53197,402,"Pos Late",TRUE
-0.11440035872232,-0.034982183627986,-3.80623426337552,0.00016570654895463,0.0318985106737662,0.686401541166515,100009130,"100009130","Lipid","Phosphatidylcholine (PC)",2403,"NAMED","FPEVDFOXMCHLKL-KFDYCXSYSA-N","O=C(CCCCCCC/C=C\CCCCCCCC)OC[C@]([H])(COP(OCC[N+](C)(C)C)([O-])=O)OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O","1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*","1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*",NA,24766785,"HMDB0008123",NA,24778955,"PC 40:7","PC 18:1_22:6","Unknown",52697,52697,52697,402,402,402,165470,165470,165470,"Pos Late","Pos Late","Pos Late",165470,52697,402,"Pos Late",TRUE
0.111496957051564,0.0127270118537259,3.69228453842491,0.000256568131285988,0.0329262435150351,0.306895305394389,100000626,"100000626","Lipid","Sphingosines",3225,"NAMED","DUYSYHSSBDVJSM-KRWOKUGFSA-N","OP([O-])(OC[C@@]([H])([C@](O)(/C=C/CCCCCCCCCCCCC)[H])[NH3+])=O","sphingosine 1-phosphate","sphingosine 1-phosphate","26993-30-6",4446673,"HMDB0000277","C06124",5283560,NA,NA,NA,34445,34445,34445,402,402,402,158668,158668,158668,"Pos Late","Pos Late","Pos Late",158668,34445,402,"Pos Late",TRUE
0.104169641179269,1.08126190648997,3.49443696264654,0.000534122425452258,0.0514092834497799,-0.326750336301894,NA,"Glycolytic_Ratio",NA,NA,NA,NA,NA,NA,"Glycolytic_Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.210224443190238,-0.0983134920018478,-3.36222255821446,0.000855933552481026,0.065906883541039,-0.732096371143205,100009125,"100009125","Lipid","Phosphatidylcholine (PC)",2364,"NAMED","KSRURLYJRNYEOH-SHHFQLSYSA-N","O=C(CCCCCCCCCCCCCCCC)OC[C@]([H])(COP(OCC[N+](C)(C)C)([O-])=O)OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O","1-margaroyl-2-docosahexaenoyl-GPC (17:0/22:6)*","1-margaroyl-2-docosahexaenoyl-GPC (17:0/22:6)*",NA,24822432,NA,NA,NA,"PC 39:6","PC 17:0_22:6","Unknown",53198,53198,53198,402,402,402,166628,166628,166628,"Pos Late","Pos Late","Pos Late",166628,53198,402,"Pos Late",TRUE
-0.0531483949865171,-0.0403022567079298,-3.29178178685351,0.00109373688247618,0.070181449958888,-0.942069728118976,1124,"1124","Energy","TCA Cycle",1479,"NAMED","KRKNYBCHXYNGOX-UHFFFAOYSA-N","OC(CC(CC(O)=O)(O)C(O)=O)=O","citrate","citrate","77-92-9",305,"HMDB0000094","C00158",311,NA,NA,NA,1564,1564,1564,209,209,209,124575,124575,124575,"Neg","Neg","Neg",124575,1564,209,"Neg",TRUE
-0.1673578913554,-0.0180010735762894,-3.12633704588592,0.00191347915892907,0.105241353741099,-1.4188778322349,100000665,"100000665","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",1608,"NAMED","MBMBGCFOFBJSGT-KUBAVDMBSA-N","CC\C=C/C\C=C/C\C=C/C/C=C\C/C=C\C/C=C\CCC(O)=O","docosahexaenoate (DHA; 22:6n3)","docosahexaenoate (DHA; 22:6n3)","6217-54-5",393183,"HMDB0002183","C06429",445580,NA,NA,NA,44675,44675,44675,209,209,209,126139,126139,126139,"Neg","Neg","Neg",126139,44675,209,"Neg",TRUE
0.102080091843047,0.0662740079333408,3.01035316854229,0.00279288477737743,0.121135997135408,-1.73928117703012,561,"561","Amino Acid","Glutamate Metabolism",46,"NAMED","WHUUTDBJXJRKMK-VKHMYHEASA-N","O=C(O)[C@@H](N)CCC(O)=O","glutamate","glutamate","56-86-0",591,"HMDB0000148","C00025,C00217",33032,NA,NA,NA,57,57,57,400,400,400,155297,155297,155297,"Pos Early","Pos Early","Pos Early",155297,57,400,"Pos Early",FALSE
-0.314331990548169,-0.10793394920281,-3.00605342029583,0.00283175058238615,0.121135997135408,-1.7509532152191,504,"504","Amino Acid","Tryptophan Metabolism",294,"NAMED","QZAYGJVTTNCVMB-UHFFFAOYSA-N","NCCC1=CNC(C=C2)=C1C=C2O","serotonin","serotonin","153-98-0",5013,"HMDB0000259","C00780",5202,NA,NA,NA,2342,2342,2342,400,400,400,155468,155468,155468,"Pos Early","Pos Early","Pos Early",155468,2342,400,"Pos Early",FALSE
0.106992546239427,0.0572869245752386,2.86754828894028,0.00437941087553498,0.168607318708097,-2.11802069495874,100001876,"100001876","Lipid","Sphingolipid Synthesis",3063,"NAMED","YHEDRJPUIRMZMP-UHFFFAOYSA-N","OP(O)(OCC(C(CCCCCCCCCCCCCCC)O)N)=O","sphinganine-1-phosphate","sphinganine-1-phosphate","19794-97-9",505,"HMDB0001383",NA,520,NA,NA,NA,52605,52605,52605,402,402,402,165336,165336,165336,"Pos Late","Pos Late","Pos Late",165336,52605,402,"Pos Late",TRUE
