"logFC","AveExpr","t","P.Value","adj.P.Val","B","CHEM_ID","Original_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","CAS","CHEMSPIDER","HMDB","KEGG","PUBCHEM","LIPID SPECIES LEVEL","LIPID MOLECULAR SPECIES LEVEL","LIPID SN POSITION LEVEL","COMP_ID_1","COMP_ID_2","COMP_ID_3","LIB_ID_1","LIB_ID_2","LIB_ID_3","CHRO_LIB_ENTRY_ID_1","CHRO_LIB_ENTRY_ID_2","CHRO_LIB_ENTRY_ID_3","PLATFORM_1","PLATFORM_2","PLATFORM_3","CHRO_LIB_ENTRY_ID","COMP_ID","LIB_ID","PLATFORM"
-0.487781601190043,-0.454184338186854,-5.23216639105397,2.98992317478216e-07,0.000145011273976935,6.43244147826366,100002003,"100002003","Lipid","Pregnenolone Steroids",3318,"NAMED","YNTXPDSHGMGJJG-WGKOQXAXSA-N","C[C@@]1([C@H]2[C@@](COS(=O)(O)=O)=O)[C@](CC2)([H])[C@@](CC=C3[C@@]4(CC[C@H](O)C3)C)([H])[C@@]4([H])CC1","21-hydroxypregnenolone monosulfate (1)","21-hydroxypregnenolone monosulfate (1)","88378-34-1",152343,NA,NA,174681,NA,NA,NA,37174,37174,37174,209,209,209,144212,144212,144212,"Neg","Neg","Neg",144212,37174,209,"Neg"
-0.410336227893893,-0.103273247344811,-4.56893585440351,6.9435607147747e-06,0.00168381347333286,3.5308726912747,100001988,"100001988","Lipid","Progestin Steroids",3348,"NAMED","LSQGWMYMIHQKSA-VNCHAANSSA-N","C[C@@]12[C@](CCC3C2CC[C@@]4(C)C3CCC4C(OS(=O)(O)=O)C)([H])C[C@@H](OS(=O)(O)=O)CC1","5alpha-pregnan-3beta,20alpha-diol disulfate","5alpha-pregnan-3beta,20alpha-diol disulfate",NA,NA,"HMDB0094650",NA,118703093,NA,NA,NA,37198,37198,37198,209,209,209,144254,144254,144254,"Neg","Neg","Neg",144254,37198,209,"Neg"
0.526500812983534,0.25009551131887,4.22140162419663,3.14540366943667e-05,0.00336324010656088,2.14779809416909,342,"342","Lipid","Primary Bile Acid Metabolism",3522,"NAMED","RFDAIACWWDREDC-FRVQLJSFSA-N","O=C(CNC(CC[C@H]([C@@H]1[C@@]2(C)[C@@H](O)C[C@]3([H])[C@@]4(C)CC[C@@H](O)C[C@@]4([H])C[C@@H](O)[C@@]3([H])[C@]2([H])CC1)C)=O)O","glycocholate","glycocholate","475-31-0,863-57-0",9734,"HMDB0000138","C01921",10140,NA,NA,NA,18476,18476,18476,209,209,209,126842,126842,126842,"Neg","Neg","Neg",126842,18476,209,"Neg"
-0.714719896357441,-0.535760724566478,-4.17644976058721,3.79727769830969e-05,0.00336324010656088,1.97600879346446,798,"798","Nucleotide","Purine Metabolism, Adenine containing",4349,"NAMED","OIRDTQYFTABQOQ-KQYNXXCUSA-N","NC1=NC=NC2=C1N=CN2[C@@]3([H])[C@@](O)([H])[C@@](O)([H])[C@](CO)([H])O3","adenosine","adenosine","58-61-7",54923,"HMDB0000050","C00212",60961,NA,NA,NA,555,555,555,209,209,209,124777,124777,124777,"Neg","Neg","Neg",124777,555,209,"Neg"
0.41167461138195,-0.0910635038889156,4.1710751055842,3.88333508278617e-05,0.00336324010656088,1.95557895459946,100010937,"100010937","Lipid","Diacylglycerol",3002,"NAMED","LWXLWRXRJKMNLM-XBUMEPTLSA-N","CCCCCCCC/C=C/CCCCCCCC(OCC(OC(CCC/C=C/C/C=C/C/C=C/C/C=C/CCCCC)=O)CO)=O","oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*","oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*",NA,NA,"HMDB0007508",NA,9543786,"DG 38:5","DG 18:1_20:4","Unknown",54961,54961,54961,402,402,402,208046,208046,208046,"Pos Late","Pos Late","Pos Late",208046,54961,402,"Pos Late"
-0.288593047696492,-0.115844311145616,-4.14535468226743,4.3215489638934e-05,0.00336324010656088,1.85813809036118,100001993,"100001993","Lipid","Pregnenolone Steroids",3328,"NAMED","RKYCGXFEFAPXIP-BWUXAKENSA-N","C[C@@]12C(CCC3C2CC[C@@]4(C)C3CCC4C(OS(=O)(O)=O)C)=CC(OS(=O)(O)=O)CC1","pregnenediol disulfate (C21H34O8S2)*","pregnen-diol disulfate*",NA,NA,NA,NA,NA,NA,NA,NA,32562,32562,32562,209,209,209,149820,149820,149820,"Neg","Neg","Neg",149820,32562,209,"Neg"
-0.516334150712412,-0.230632661116364,-4.0772200435544,5.72166437781619e-05,0.00336324010656088,1.60262729306593,100009345,"100009345","Lipid","Phosphatidylcholine (PC)",2355,"NAMED","MMUCLZZSNHBNFL-KBTBXKTRSA-N","O=C(CCCCCCC/C=C\CCCCCC)OC[C@]([H])(COP(OCC[N+](C)(C)C)([O-])=O)OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O","1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*","1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*",NA,24766677,"HMDB0008008",NA,52922452,"PC 34:4","PC 16:1_18:3","Unknown",53180,53180,53180,402,402,402,166609,166609,166609,"Pos Late","Pos Late","Pos Late",166609,53180,402,"Pos Late"
-0.281326501687421,0.0860250388771332,-4.0630672457794,6.06225868106329e-05,0.00336324010656088,1.5500305955154,100020343,"100020343","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",1595,"NAMED","HXHZGHRLVRFQDR-HZJYTTRNSA-N","OC(CCC/C=C\C/C=C\CCCCC)=O","tetradecadienoate (14:2)*","tetradecadienoate (14:2)*","39039-37-7",4471834,"HMDB0000560",NA,5312409,NA,NA,NA,62850,62850,62850,209,209,209,220619,220619,220619,"Neg","Neg","Neg",220619,62850,209,"Neg"
-0.296361575787474,-0.0567670094468196,-4.02675521972797,7.02653590218124e-05,0.00336324010656088,1.41583619175964,100006051,"100006051","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",1929,"NAMED","ABVVZYXTZLEOHP-OLHLWXQYSA-N","O=C(CCCCCCC/C=C\CCCC)O[C@H](CC([O-])=O)C[N+](C)(C)C","myristoleoylcarnitine/physeteroylcarnitine (C14:1)*","myristoleoylcarnitine/physeteroylcarnitine (C14:1)*","889848-55-9",34999520,"HMDB0240588",NA,129691961,NA,NA,NA,48182,48182,48182,402,402,402,160274,160274,160274,"Pos Late","Pos Late","Pos Late",160274,48182,402,"Pos Late"
-0.259807990047447,-0.175226176391097,-4.00080023012952,7.80314804413235e-05,0.00336324010656088,1.32059689731317,100001999,"100001999","Lipid","Pregnenolone Steroids",3321,"NAMED","CBOVWLYQUCVTFA-WGKOQXAXSA-N","C[C@@]1([C@H]2[C@@](COS(=O)(O)=O)=O)[C@](CC2)([H])[C@@](CC=C3[C@@]4(CC[C@H](OS(=O)(O)=O)C3)C)([H])[C@@]4([H])CC1","21-hydroxypregnenolone disulfate","21-hydroxypregnenolone disulfate","1164-98-3",118625,"HMDB0242133",NA,134595,NA,NA,NA,46115,46115,46115,209,209,209,143743,143743,143743,"Neg","Neg","Neg",143743,46115,209,"Neg"
