"logFC","AveExpr","t","P.Value","adj.P.Val","B","CHEM_ID","Original_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","CAS","CHEMSPIDER","HMDB","KEGG","PUBCHEM","LIPID SPECIES LEVEL","LIPID MOLECULAR SPECIES LEVEL","LIPID SN POSITION LEVEL","COMP_ID_1","COMP_ID_2","COMP_ID_3","LIB_ID_1","LIB_ID_2","LIB_ID_3","CHRO_LIB_ENTRY_ID_1","CHRO_LIB_ENTRY_ID_2","CHRO_LIB_ENTRY_ID_3","PLATFORM_1","PLATFORM_2","PLATFORM_3","CHRO_LIB_ENTRY_ID","COMP_ID","LIB_ID","PLATFORM"
0.209038585313017,0.0940967807206284,3.57789914927433,0.000398421158434328,0.118610419906692,-0.0787090875009167,100003151,"100003151","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)",1936,"NAMED","MJLXQSQYKZWZCB-DQFWFXSYSA-N","[O-]C(C[C@H](C[N+](C)(C)C)OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O","linoleoylcarnitine (C18:2)*","linoleoylcarnitine (C18:2)*","36816-10-1",4952667,"HMDB0006469",NA,6450015,NA,NA,NA,46223,46223,46223,402,402,402,159669,159669,159669,"Pos Late","Pos Late","Pos Late",159669,46223,402,"Pos Late"
-0.459773748608613,-0.100261109264648,-3.49727286556238,0.000534640944027557,0.118610419906692,-0.328300993576407,100002106,"100002106","Lipid","Sphingomyelins",3183,"NAMED","NBEADXWAAWCCDG-QDDWGVBQSA-N","O=C(CCCCCCC/C=C\CCCCCCCC)N[C@@](COP([O-])(OCC[N+](C)(C)C)=O)([C@](O)(/C=C/CCCCCCCCCCCCC)[H])[H]","sphingomyelin (d18:1/18:1, d18:2/18:0)","sphingomyelin (d18:1/18:1, d18:2/18:0)","108392-10-5",4947837,"HMDB0012101",NA,6443882,"SM 36:2;O2","Unknown","Unknown",37529,37529,37529,402,402,402,164200,164200,164200,"Pos Late","Pos Late","Pos Late",164200,37529,402,"Pos Late"
-0.320030799271449,0.0213380821683446,-3.4087823617623,0.000733672700453762,0.118610419906692,-0.59615944089305,100008992,"100008992","Lipid","Phosphatidylethanolamine (PE)",2487,"NAMED","XYYHNDVKALDFHQ-OXHZBIAZSA-N","O=C(CCCCCCCCCCCCCCCCC)OC[C@]([H])(COP(OCCN)(O)=O)OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O","1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*","1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*",NA,7825748,"HMDB0009012",NA,9546798,"PE 40:6","PE 18:0_22:6","Unknown",52466,52466,52466,402,402,402,165134,165134,165134,"Pos Late","Pos Late","Pos Late",165134,52466,402,"Pos Late"
-0.320972984805098,0.0615267959338135,-3.31828933087219,0.00100717590811319,0.122120078858724,-0.863503840671986,100008991,"100008991","Lipid","Phosphatidylethanolamine (PE)",2463,"NAMED","MPWUZHVZZKSTPV-MADBQMNMSA-N","O=C(CCCCCCCCCCCCCCC)OC[C@]([H])(COP(OCCN)(O)=O)OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O","1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*","1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*",NA,7825749,"HMDB0008946",NA,9546799,"PE 38:6","PE 16:0_22:6","Unknown",52465,52465,52465,402,402,402,165133,165133,165133,"Pos Late","Pos Late","Pos Late",165133,52465,402,"Pos Late"
0.45384947408453,-0.160395570578324,3.21761567258957,0.00142126585907124,0.13786278832991,-1.15306277759125,100002128,"100002128","Lipid","Pregnenolone Steroids",3315,"NAMED","OMOKWYAQVYBHMG-QUPIPBJSSA-N","O=[C@@](C)[C@@]1(O)CC[C@@]2([H])[C@]3([H])CC=C4CC(OS(=O)(O)=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C","17alpha-hydroxypregnenolone 3-sulfate","17alpha-hydroxypregnenolone 3-sulfate","28901-70-4",134824,"HMDB0000416",NA,152971,NA,NA,NA,37482,37482,37482,209,209,209,151073,151073,151073,"Neg","Neg","Neg",151073,37482,209,"Neg"
0.248605936682424,-0.0720889462525648,3.12442701883345,0.00194006764109768,0.156822134322063,-1.41366740246474,100001994,"100001994","Lipid","Androgenic Steroids",3432,"NAMED","UWPTUYJASNIIJM-QJIZPQHZSA-N","C[C@]12C(CCC3C1CC[C@]4(C3CC[C@@H]4OS(=O)(O)=O)C)=C[C@H](CC2)OS(=O)(O)=O","androstenediol (3beta,17beta) disulfate (2)","androstenediol (3beta,17beta) disulfate (2)",NA,NA,"HMDB0240313",NA,87120982,NA,NA,NA,37203,37203,37203,209,209,209,144269,144269,144269,"Neg","Neg","Neg",144269,37203,209,"Neg"
-0.145559722344857,-0.0183220558353274,-3.02472224091878,0.00268452597316705,0.175119121544393,-1.68452658127013,100008915,"100008915","Lipid","Phosphatidylcholine (PC)",2348,"NAMED","IESVDEZGAHUQJU-ZLBXKVHBSA-N","CCCCCCCCCCCCCCCC(OC[C@](OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)([H])COP([O-])(OCC[N+](C)(C)C)=O)=O","1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)","1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)","59403-54-2",4946007,"HMDB0007991",NA,6441886,"PC 38:6","PC 16:0_22:6","Unknown",52610,52610,52610,402,402,402,165342,165342,165342,"Pos Late","Pos Late","Pos Late",165342,52610,402,"Pos Late"
0.318358009071234,-0.115844311145616,2.9799570995101,0.00309755838749854,0.175119121544393,-1.80346809135054,100001993,"100001993","Lipid","Pregnenolone Steroids",3328,"NAMED","RKYCGXFEFAPXIP-BWUXAKENSA-N","C[C@@]12C(CCC3C2CC[C@@]4(C)C3CCC4C(OS(=O)(O)=O)C)=CC(OS(=O)(O)=O)CC1","pregnenediol disulfate (C21H34O8S2)*","pregnen-diol disulfate*",NA,NA,NA,NA,NA,NA,NA,NA,32562,32562,32562,209,209,209,149820,149820,149820,"Neg","Neg","Neg",149820,32562,209,"Neg"
0.280607526553013,-0.175226176391097,2.96483667940351,0.00324963318329802,0.175119121544393,-1.84324857773706,100001999,"100001999","Lipid","Pregnenolone Steroids",3321,"NAMED","CBOVWLYQUCVTFA-WGKOQXAXSA-N","C[C@@]1([C@H]2[C@@](COS(=O)(O)=O)=O)[C@](CC2)([H])[C@@](CC=C3[C@@]4(CC[C@H](OS(=O)(O)=O)C3)C)([H])[C@@]4([H])CC1","21-hydroxypregnenolone disulfate","21-hydroxypregnenolone disulfate","1164-98-3",118625,"HMDB0242133",NA,134595,NA,NA,NA,46115,46115,46115,209,209,209,143743,143743,143743,"Neg","Neg","Neg",143743,46115,209,"Neg"
0.181377967443272,0.00633829419908339,2.62039290588565,0.00919034673427486,0.445731816612331,-2.69770667975469,100001557,"100001557","Lipid","Lysophospholipid",2667,"NAMED","LSUXCWJOIAWGOU-YMVLYFQPSA-N","OC[C@H](OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COP(OCC[N+](C)(C)C)([O-])=O","2-linoleoyl-GPC (18:2)*","2-linoleoyl-GPC (18:2)*",NA,21403160,"HMDB0061700",NA,71768169,"LPC 18:2","LPC 18:2","LPC 0:0/18:2",35257,35257,35257,209,209,209,126982,126982,126982,"Neg","Neg","Neg",126982,35257,209,"Neg"
0.341092482750826,-0.0437273145694739,2.54286341803677,0.0114526093576295,0.504955958040939,-2.87617276388272,100006726,"100006726","Lipid","Endocannabinoid",2227,"NAMED","KQXDGUVSAAQARU-HZJYTTRNSA-N","CCCCC/C=C\C/C=C\CCCCCCCC(NCCO)=O","linoleoyl ethanolamide (18:2)","linoleoyl ethanolamide (18:2)","68171-52-8",4446566,"HMDB0012252",NA,5283446,NA,NA,NA,52608,52608,52608,209,209,209,166573,166573,166573,"Neg","Neg","Neg",166573,52608,209,"Neg"
-0.372479127357237,-0.190198107431908,-2.44632279636294,0.0149554889249457,0.53216651266077,-3.09121766194593,100009220,"100009220","Lipid","Phosphatidylethanolamine (PE)",2495,"NAMED","JZSZAGWWWKKXLO-RMEBTJIYSA-N","O=C(CCCCCCC/C=C\CCCCCCCC)OC[C@]([H])(COP(OCCN)(O)=O)OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O","1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*","1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*",NA,24768542,"HMDB0009078",NA,52922113,"PE 40:7","PE 18:1_22:6","Unknown",53209,53209,53209,402,402,402,166647,166647,166647,"Pos Late","Pos Late","Pos Late",166647,53209,402,"Pos Late"
0.22556896022191,-0.149647200766756,2.42533746078843,0.0158319526713054,0.53216651266077,-3.13690248858691,100002129,"100002129","Lipid","Pregnenolone Steroids",3311,"NAMED","DIJBBUIOWGGQOP-QGVNFLHTSA-N","C[C@]12CC[C@H](OS(=O)(O)=O)CC1=CC[C@@]3([H])[C@]4([H])CC[C@H]([C@](C)=O)[C@](C)4CC[C@]23[H]","pregnenolone sulfate","pregnenolone sulfate","1247-64-9",94802,"HMDB0000774","C18044",105074,NA,NA,NA,38170,38170,38170,209,209,209,127723,127723,127723,"Neg","Neg","Neg",127723,38170,209,"Neg"
-0.393848977288091,-0.0684713370142376,-2.41573040484843,0.0162482389120874,0.53216651266077,-3.1576942983796,100009209,"100009209","Lipid","Phosphatidylethanolamine (PE)",2462,"NAMED","KHLRCNXJXSYNCK-ZIEHFRHMSA-N","O=C(CCCCCCCCCCCCCCC)OC[C@]([H])(COP(OCCN)(O)=O)OC(CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O","1-palmitoyl-2-eicosapentaenoyl-GPE (16:0/20:5)*","1-palmitoyl-2-eicosapentaenoyl-GPE (16:0/20:5)*",NA,24768431,"HMDB0008939",NA,52924919,"PE 36:5","PE 16:0_20:5","Unknown",53190,53190,53190,402,402,402,166620,166620,166620,"Pos Late","Pos Late","Pos Late",166620,53190,402,"Pos Late"
