"Feature_ID","Chemical_Name","MeanDecreaseGini"
"100020515","2-naphthol sulfate",17.5308982960823
"504","serotonin",16.1388016327562
"1628","glycochenodeoxycholate",15.4539244341004
"100002253","cinnamoylglycine",15.1445427294537
"136","cholate",14.7680196885657
"100001121","pyridoxate",14.5101978275922
"100001437","cysteine-glutathione disulfide",13.995886861897
"100001757","thymol sulfate",13.9897811855145
"100020546","N2-acetyl,N6-methyllysine",13.4884631894133
"100001604","hydroquinone sulfate",13.4127637756025
"100003470","pregnanediol-3-glucuronide",13.3858834520845
"62","12,13-DiHOME",12.6734876175452
"100002488","isoursodeoxycholate",12.49021391744
"100001767","pyrraline",12.4144958659296
"100000015","xanthurenate",12.3516921483223
"100005814","N-linoleoyltaurine",11.5546005763548
