"Feature_ID","Chemical_Name","Coef_Cognitive","Coef_Control","Coef_Depressive","Coef_MildPTSD","Coef_SeverePTSD"
"100001563","2-myristoyl-GPC (14:0)*",0.0407,-0.0232,0.0042,-0.012,-0.0097
"100000672","1-myristoyl-2-palmitoyl-GPC (14:0/16:0)",0.1254,-0.1238,-0.0499,0.0699,-0.0216
"100020343","tetradecadienoate (14:2)*",-0.0817,-0.0252,0.0216,0.0356,0.0498
"100001988","5alpha-pregnan-3beta,20alpha-diol disulfate",-0.1439,0.0534,0.053,0.046,-0.0085
"100009347","phosphatidylcholine (15:0/18:1, 17:0/16:1, 16:0/17:1)*",0.114,0.0115,-0.0195,-0.0405,-0.0655
"100009271","(S)-3-hydroxybutyrylcarnitine",-0.2023,0.1472,0.0713,0.057,-0.0732
"100002014","5alpha-pregnan-3beta,20alpha-diol monosulfate (2)",-0.0826,0.1093,-0.0148,0.0141,-0.026
"100000802","acetylcarnitine (C2)",-0.2277,0.1818,0.035,0.1607,-0.1498
"100001511","1-palmitoleoyl-GPC (16:1)*",0.0454,0.0063,0.0121,-0.031,-0.0327
"100009345","1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*",-0.0712,0.056,0.0089,0.0209,-0.0146
"1539","1-palmitoyl-2-oleoyl-GPC (16:0/18:1)",0.1906,-0.0626,-0.0832,0.0393,-0.0842
"1628","glycochenodeoxycholate",0.021,-0.0035,-0.0241,-0.0242,0.0308
"100008916","1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)",-0.1215,0.0933,-0.134,0.0408,0.1213
"482","lactate",0.1451,-0.3522,-0.0034,0.1889,0.0217
"100000665","docosahexaenoate (DHA; 22:6n3)",-0.001,0.0011,-1e-04,0.0038,-0.0038
"100008915","1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)",-0.0455,0.0233,-0.3744,0.4214,-0.0248
"100009123","1-pentadecanoyl-2-docosahexaenoyl-GPC (15:0/22:6)*",0.1838,0.1143,-0.126,0.0818,-0.2539
"100020214","glyco-beta-muricholate**",0.0326,0.0823,-0.0927,0.0476,-0.0698
"100001994","androstenediol (3beta,17beta) disulfate (2)",-0.0403,-0.1274,0.1548,0.0943,-0.0813
"100001557","2-linoleoyl-GPC (18:2)*",0.0563,-0.0075,0.1597,-0.0672,-0.1413
"100001993","pregnenediol disulfate (C21H34O8S2)*",-0.0056,0.0041,0.0078,6e-04,-0.0068
"100008903","1,2-dilinoleoyl-GPC (18:2/18:2)",0.0339,-0.0732,0.097,-0.0792,0.0214
"100000626","sphingosine 1-phosphate",-0.1323,-0.5055,0.2121,-0.1498,0.5755
"100009130","1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*",0.0275,0.0775,-0.0343,0.0665,-0.1372
"100009220","1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*",0.0413,0.0713,-0.0657,-0.0371,-0.0099
"100003151","linoleoylcarnitine (C18:2)*",0.1133,-0.0702,0.1777,-0.1605,-0.0603
"100001552","1-dihomo-linolenoyl-GPC (20:3n3 or n6)*",-0.0012,0.0037,0.0099,-0.0038,-0.0086
"100001254","N-acetyltryptophan",-0.1664,0.0754,0.1701,-0.1612,0.0821
"100001999","21-hydroxypregnenolone disulfate",-0.0466,-0.0053,0.0379,0.0426,-0.0285
"100000657","1,2-dipalmitoyl-GPC (16:0/16:0)",-0.0329,-0.4741,-0.4872,0.9194,0.0748
"100020550","deoxycholic acid glucuronide",-0.1228,-0.0266,0.0175,0.1407,-0.0088
"561","glutamate",-0.0767,-0.1767,0.1047,-0.1439,0.2927
"100001876","sphinganine-1-phosphate",0.0036,-0.0621,0.0152,0.0127,0.0305
"1124","citrate",-0.0048,0.061,-7e-04,0.0194,-0.0749
"504","serotonin",-0.072,0.198,-0.0246,0.0846,-0.1859
"1135","ursodeoxycholate",5e-04,-0.0021,9e-04,-0.0078,0.0085
"100015689","1-palmitoyl-2-(hydroxylinoleoyl)-GPC (16:0/18:2(OH))*",-0.0658,-0.0694,-0.0599,0.0425,0.1526
"GABR","GABR",0.1796,0.0853,-0.0124,-0.1215,-0.131
