"Feature_ID","MeanDecreaseGini","Chemical_Name"
999912847,5.78221402044669,"X-12847"
504,5.76000246075535,"serotonin"
999917690,5.49535794868995,"X-17690"
100020515,5.3676699901303,"2-naphthol sulfate"
100001437,5.00554999524121,"cysteine-glutathione disulfide"
999917010,4.69104072729046,"X-17010"
100003470,4.67491925742948,"pregnanediol-3-glucuronide"
100001121,4.59010691663803,"pyridoxate"
999912216,4.53487679871116,"X-12216"
100002014,4.49262116399351,"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)"
100001092,4.46803853129424,"trigonelline (N'-methylnicotinate)"
136,4.41774766948568,"cholate"
100001604,4.41458149387609,"hydroquinone sulfate"
100000846,4.3826293547571,"erythritol"
100000096,4.17310738706946,"4-guanidinobutanoate"
999912127,4.15780659277655,"X-12127"
999921312,4.13520440008566,"X-21312"
100019794,4.11954941843147,"hydroxy-CMPF*"
100001108,4.05249625771541,"3-methylxanthine"
100002128,3.94650692385517,"17alpha-hydroxypregnenolone 3-sulfate"
