"logFC","AveExpr","t","P.Value","adj.P.Val","B","CHEM_ID","Original_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","CAS","CHEMSPIDER","HMDB","KEGG","PUBCHEM","LIPID SPECIES LEVEL","LIPID MOLECULAR SPECIES LEVEL","LIPID SN POSITION LEVEL","COMP_ID_1","COMP_ID_2","COMP_ID_3","LIB_ID_1","LIB_ID_2","LIB_ID_3","CHRO_LIB_ENTRY_ID_1","CHRO_LIB_ENTRY_ID_2","CHRO_LIB_ENTRY_ID_3","PLATFORM_1","PLATFORM_2","PLATFORM_3","CHRO_LIB_ENTRY_ID","COMP_ID","LIB_ID","PLATFORM","PTSDBioPriority_v8","Neuro_addon_v12","V12_panel"
0.0690248846157668,-0.0125802075990466,3.40551615309342,0.0007084888689507,0.27276821454602,-0.74891111415952,100000657,"100000657","Lipid","Phosphatidylcholine (PC)",2323,"NAMED","KILNVBDSWZSGLL-KXQOOQHDSA-N","CCCCCCCCCCCCCCCC(OC[C@]([H])(COP([O-])(OCC[N+](C)(C)C)=O)OC(CCCCCCCCCCCCCCC)=O)=O","1,2-dipalmitoyl-GPC (16:0/16:0)","1,2-dipalmitoyl-GPC (16:0/16:0)","63-89-8",398235,"HMDB0245715","D03585",452110,"PC 32:0","PC 16:0_16:0","PC 16:0/16:0",19130,19130,19130,402,402,402,164201,164201,164201,"Pos Late","Pos Late","Pos Late",164201,19130,402,"Pos Late",TRUE,FALSE,TRUE
0.410536650406483,-0.0809871310618443,3.12231205722625,0.00188848517746331,0.347446895653115,-1.49072262040584,100020550,"100020550","Lipid","Secondary Bile Acid Metabolism",3554,"NAMED",NA,"O[C@H]1C[C@]2([H])[C@@]3(C)CC[C@@H](OC4C(O)C(O)C(O)C(C(O)=O)O4)CC3CC[C@@]2([H])[C@]5([H])CC[C@H]([C@H](C)CCC(O)=O)[C@@]15C","deoxycholic acid glucuronide","deoxycholic acid glucuronide",NA,NA,"HMDB0002596",NA,NA,NA,NA,NA,63610,63610,63610,209,209,209,222934,222934,222934,"Neg","Neg","Neg",222934,63610,209,"Neg",TRUE,FALSE,TRUE
0.12284328290848,0.0567814462945648,3.01279660466507,0.00270737840768661,0.347446895653115,-1.76104149338348,482,"482","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1279,"NAMED","JVTAAEKCZFNVCJ-UHFFFAOYSA-N","CC(O)C(O)=O","lactate","lactate","79-33-4",592,"HMDB0000190","C00186",612,NA,NA,NA,527,527,527,209,305,305,123163,146396,146396,"Neg","Polar","Polar",146396,527,305,"Polar",TRUE,FALSE,TRUE
0.265567922697434,-0.197365454716165,2.56716806817346,0.0105159441936846,0.810733381795899,-2.76480858310842,100004182,"100004182","Lipid","Secondary Bile Acid Metabolism",3609,"NAMED","HIAJCGFYHIANNA-QIZZZRFXSA-N","O[C@@H]1CC2=CC[C@@]([C@@]3([H])[C@@]2(C)CC1)([H])[C@@]4([H])[C@@](CC3)(C)[C@]([C@H](C)CCC(O)=O)([H])CC4","3beta-hydroxy-5-cholenoate","3beta-hydroxy-5-cholenoate","5255-17-4",83950,"HMDB0000308",NA,92997,NA,NA,NA,43507,43507,43507,209,209,209,144005,144005,144005,"Neg","Neg","Neg",144005,43507,209,"Neg",TRUE,FALSE,TRUE
0.160284843806196,-0.07219399974285,2.56673240005535,0.0105290049583883,0.810733381795899,-2.765713846937,100022013,"100022013","Lipid","Corticosteroids",3378,"NAMED","OZINUFSVVJAFHD-LUPKFNMHSA-N","[H][C@@]12[C@@]3(C)CC[C@@H](OC4OC(C(O)=O)C(O)C(O)C4O)C[C@@]3([H])CC[C@@]1([H])[C@]5([H])CC[C@@](C(CO)=O)(O)[C@@]5(C)C[C@@H]2O","tetrahydrocortisol glucuronide","tetrahydrocortisol glucuronide",NA,NA,NA,NA,NA,NA,NA,NA,64411,64411,64411,209,209,209,237545,237545,237545,"Neg","Neg","Neg",237545,64411,209,"Neg",TRUE,FALSE,TRUE
0.172501738353791,0.0374251753765187,2.36918239825829,0.0181710462372598,0.913320386328114,-3.16077718797204,100003901,"100003901","Lipid","Lysophospholipid",2723,"NAMED","KIHAGWUUUHJRMS-JOCHJYFZSA-N","OC[C@@H](OC(CCCCCCCCCCCCCCCCC)=O)COP(OCC[NH3+])([O-])=O","2-stearoyl-GPE (18:0)*","2-stearoyl-GPE (18:0)*",NA,24769218,"HMDB0011129",NA,9065845353480660,"LPE 18:0","LPE 18:0","LPE 0:0/18:0",41220,41220,41220,209,209,209,142786,142786,142786,"Neg","Neg","Neg",142786,41220,209,"Neg",TRUE,FALSE,TRUE
0.0543173114254812,-0.0271196750102649,2.31589229680298,0.0209301400312951,0.913320386328114,-3.2620631708336,100008914,"100008914","Lipid","Phosphatidylcholine (PC)",2342,"NAMED","IIZPXYDJLKNOIY-JXPKJXOSSA-N","CCCCCCCCCCCCCCCC(OC[C@@]([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COP([O-])(OCC[N+](C)(C)C)=O)=O","1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)","1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)","35418-58-7",8923140,"HMDB0007982","C05208",10747814,"PC 36:4","PC 16:0_20:4(5,8,11,14)","Unknown",52462,52462,52462,402,402,402,165128,165128,165128,"Pos Late","Pos Late","Pos Late",165128,52462,402,"Pos Late",TRUE,FALSE,TRUE
0.0567219411996625,0.0279680564382687,2.29510214114024,0.0221019922431301,0.913320386328114,-3.30096749995733,100005986,"100005986","Lipid","Sphingomyelins",3193,"NAMED","WKZHECFHXLTOLJ-QYKFWSDSSA-N","O[C@H](/C=C/CCCCCCCCCCCCC)[C@H](CO[P](OCC[N+](C)(C)C)([O-])=O)NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O","sphingomyelin (d18:1/24:1, d18:2/24:0)*","sphingomyelin (d18:1/24:1, d18:2/24:0)*","94359-13-4",24846874,"HMDB0012107",NA,44260126,"SM 42:2;O2","Unknown","Unknown",47153,47153,47153,402,402,402,164529,164529,164529,"Pos Late","Pos Late","Pos Late",164529,47153,402,"Pos Late",TRUE,FALSE,TRUE
0.0880534065075341,-0.0119164435349471,2.26593830471894,0.0238420877957958,0.913320386328114,-3.35496326839053,100001567,"100001567","Lipid","Lysophospholipid",2715,"NAMED","YVYMBNSKXOXSKW-HXUWFJFHSA-N","O=P(OCC[NH3+])([O-])OC[C@H](O)COC(CCCCCCCCCCCCCCC)=O","1-palmitoyl-GPE (16:0)","1-palmitoyl-GPE (16:0)","53862-35-4",7826019,"HMDB0011503",NA,9547069,"LPE 16:0","LPE 16:0","LPE 16:0/0:0",35631,35631,35631,402,402,402,158748,158748,158748,"Pos Late","Pos Late","Pos Late",158748,35631,402,"Pos Late",TRUE,FALSE,TRUE
0.162771906528101,-0.0347752165989823,2.25187278959083,0.0247230999007937,0.913320386328114,-3.38076361402737,100000672,"100000672","Lipid","Phosphatidylcholine (PC)",2307,"NAMED","RFVFQQWKPSOBED-PSXMRANNSA-N","CCCCCCCCCCCCCCCC(O[C@](COC(CCCCCCCCCCCCC)=O)(COP([O-])(OCC[N+](C)(C)C)=O)[H])=O","1-myristoyl-2-palmitoyl-GPC (14:0/16:0)","1-myristoyl-2-palmitoyl-GPC (14:0/16:0)","69525-80-0",114798,"HMDB0007869",NA,129657,"PC 30:0","PC 14:0_16:0","Unknown",19258,19258,19258,402,402,402,164196,164196,164196,"Pos Late","Pos Late","Pos Late",164196,19258,402,"Pos Late",TRUE,FALSE,TRUE
