CHEM_ID,Original_ID,CHEMICAL_NAME,SUPER_PATHWAY,SUB_PATHWAY
,Glycolytic_Ratio,Glycolytic_Ratio,,
100001563.0,100001563,2-myristoyl-GPC (14:0)*,Lipid,Lysophospholipid
100009346.0,100009346,"phosphatidylcholine (14:0/14:0, 16:0/12:0)",Lipid,Phosphatidylcholine (PC)
100000672.0,100000672,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Lipid,Phosphatidylcholine (PC)
100002014.0,100002014,"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)",Lipid,Progestin Steroids
100001988.0,100001988,"5alpha-pregnan-3beta,20alpha-diol disulfate",Lipid,Progestin Steroids
100009271.0,100009271,(S)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"
100001383.0,100001383,1-myristoyl-GPC (14:0),Lipid,Lysophospholipid
100000802.0,100000802,acetylcarnitine (C2),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)"
1124.0,1124,citrate,Energy,TCA Cycle
100009130.0,100009130,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,Lipid,Phosphatidylcholine (PC)
100009038.0,100009038,myristoyl dihydrosphingomyelin (d18:0/14:0)*,Lipid,Dihydrosphingomyelins
100020214.0,100020214,glyco-beta-muricholate**,Lipid,Primary Bile Acid Metabolism
1539.0,1539,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),Lipid,Phosphatidylcholine (PC)
100008984.0,100008984,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,Lipid,Phosphatidylcholine (PC)
100009138.0,100009138,1-myristoyl-2-linoleoyl-GPC (14:0/18:2)*,Lipid,Phosphatidylcholine (PC)
482.0,482,lactate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
100001511.0,100001511,1-palmitoleoyl-GPC (16:1)*,Lipid,Lysophospholipid
100009347.0,100009347,"phosphatidylcholine (15:0/18:1, 17:0/16:1, 16:0/17:1)*",Lipid,Phosphatidylcholine (PC)
100003470.0,100003470,pregnanediol-3-glucuronide,Lipid,Progestin Steroids
100021990.0,100021990,3-hydroxyoctanoylcarnitine (1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"
100000665.0,100000665,docosahexaenoate (DHA; 22:6n3),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
100002009.0,100002009,"5alpha-pregnan-3beta,20beta-diol monosulfate (1)",Lipid,Progestin Steroids
100001882.0,100001882,glycosyl-N-stearoyl-sphingosine (d18:1/18:0),Lipid,Hexosylceramides (HCER)
100009051.0,100009051,1-stearoyl-2-dihomo-linolenoyl-GPC (18:0/20:3n3 or n6)*,Lipid,Phosphatidylcholine (PC)
100003926.0,100003926,(R)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"
100002067.0,100002067,pregnenediol sulfate (C21H34O5S)*,Lipid,Pregnenolone Steroids
100000626.0,100000626,sphingosine 1-phosphate,Lipid,Sphingosines
100009125.0,100009125,1-margaroyl-2-docosahexaenoyl-GPC (17:0/22:6)*,Lipid,Phosphatidylcholine (PC)
504.0,504,serotonin,Amino Acid,Tryptophan Metabolism
100015786.0,100015786,"sphingomyelin (d18:0/20:0, d16:0/22:0)*",Lipid,Dihydrosphingomyelins
100001784.0,100001784,1-palmitoleoyl-GPE (16:1)*,Lipid,Lysophospholipid
100009027.0,100009027,"sphingomyelin (d18:0/18:0, d19:0/17:0)*",Lipid,Dihydrosphingomyelins
254.0,254,3-hydroxybutyrate (BHBA),Lipid,Ketone Bodies
100001872.0,100001872,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),Lipid,Phosphatidylserine (PS)
100008916.0,100008916,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),Lipid,Phosphatidylcholine (PC)
100008993.0,100008993,1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,Lipid,Phosphatidylinositol (PI)
100009139.0,100009139,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,Lipid,Phosphatidylcholine (PC)
100001229.0,100001229,stearidonate (18:4n3),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
100001337.0,100001337,linolenate [alpha or gamma; (18:3n3 or 6)],Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
100020343.0,100020343,tetradecadienoate (14:2)*,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
100002003.0,100002003,21-hydroxypregnenolone monosulfate (1),Lipid,Pregnenolone Steroids
100001197.0,100001197,10-undecenoate (11:1n1),Lipid,Medium Chain Fatty Acid
100009215.0,100009215,1-stearoyl-2-dihomo-linolenoyl-GPE (18:0/20:3n3 or n6)*,Lipid,Phosphatidylethanolamine (PE)
100006644.0,100006644,taurodeoxycholic acid 3-sulfate,Lipid,Secondary Bile Acid Metabolism
100009146.0,100009146,1-stearoyl-2-adrenoyl-GPC (18:0/22:4)*,Lipid,Phosphatidylcholine (PC)
100021991.0,100021991,3-hydroxyoctanoylcarnitine (2),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"
100009143.0,100009143,1-palmitoyl-2-adrenoyl-GPC (16:0/22:4)*,Lipid,Phosphatidylcholine (PC)
100000616.0,100000616,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),Lipid,Phosphatidylinositol (PI)
100021728.0,100021728,"cis-3,4-methyleneheptanoylcarnitine",Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"
100001181.0,100001181,docosapentaenoate (n3 DPA; 22:5n3),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
100002488.0,100002488,isoursodeoxycholate,Lipid,Secondary Bile Acid Metabolism
100002871.0,100002871,1-adrenoyl-GPC (22:4)*,Lipid,Lysophospholipid
100008985.0,100008985,1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or n6)*,Lipid,Phosphatidylcholine (PC)
100009345.0,100009345,1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*,Lipid,Phosphatidylcholine (PC)
100002015.0,100002015,5alpha-pregnan-diol disulfate,Lipid,Progestin Steroids
180.0,180,linoleate (18:2n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
100002021.0,100002021,"5alpha-androstan-3beta,17alpha-diol disulfate",Lipid,Androgenic Steroids
100009123.0,100009123,1-pentadecanoyl-2-docosahexaenoyl-GPC (15:0/22:6)*,Lipid,Phosphatidylcholine (PC)
1002.0,1002,allantoin,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
100001092.0,100001092,trigonelline (N'-methylnicotinate),Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
100001552.0,100001552,1-dihomo-linolenoyl-GPC (20:3n3 or n6)*,Lipid,Lysophospholipid
2050.0,2050,eicosapentaenoate (EPA; 20:5n3),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
100020261.0,100020261,glutamine conjugate of C6H10O2 (1)*,Partially Characterized Molecules,Partially Characterized Molecules
100001359.0,100001359,aconitate [cis or trans],Energy,TCA Cycle
100021141.0,100021141,3-hydroxydecanoylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"
100009332.0,100009332,arachidonoylcholine,Lipid,Fatty Acid Metabolism (Acyl Choline)
100006051.0,100006051,myristoleoylcarnitine/physeteroylcarnitine (C14:1)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"
100001396.0,100001396,7-methylxanthine,Xenobiotics,Xanthine Metabolism
563.0,563,glutamine,Amino Acid,Glutamate Metabolism
98.0,98,kynurenate,Amino Acid,Tryptophan Metabolism
100001263.0,100001263,1-palmitoyl-GPC (16:0),Lipid,Lysophospholipid
1135.0,1135,ursodeoxycholate,Lipid,Secondary Bile Acid Metabolism
100001657.0,100001657,glycolithocholate sulfate*,Lipid,Secondary Bile Acid Metabolism
100020259.0,100020259,glutamine conjugate of C7H12O2*,Partially Characterized Molecules,Partially Characterized Molecules
